"","word","no_rows"
"1","aa",5
"2","aaa",3
"3","aaaaa",2
"4","aaaaaaamazing",1
"5","aacn",1
"6","aahed",1
"7","aahh",1
"8","aamiaistarpeista",1
"9","aamupala",1
"10","aan",39
"11","aanbevelen",6
"12","aanbevelingswaardig",1
"13","aanbevolen",2
"14","aangenaam",2
"15","aangename",1
"16","aankomen",2
"17","aankomst",11
"18","aankomt",1
"19","aankondiging",1
"20","aankwamen",1
"21","aanraden",2
"22","aanrader",21
"23","aanraders",1
"24","aansluiting",1
"25","aantroffen",1
"26","aanvraagt",1
"27","aanvullende",1
"28","aanwezig",6
"29","aanwezige",1
"30","aapartment",2
"31","aar",1
"32","aardig",5
"33","aardige",1
"34","aaron",1
"35","ab",13
"36","aback",8
"37","abajo",2
"38","abandon",2
"39","abandonar",1
"40","abandoned",2
"41","abarrotes",2
"42","abastecerse",1
"43","abb",8
"44","abbas",1
"45","abbastanza",10
"46","abbey",1
"47","abbia",2
"48","abbiamo",60
"49","abbondante",1
"50","abbott",1
"51","abbraccione",1
"52","abby",6
"53","abc",2
"54","abd",3
"55","abe",2
"56","abeilles",1
"57","abeles",1
"58","abend",11
"59","abende",2
"60","abendessen",3
"61","abends",21
"62","aber",212
"63","aberration",3
"64","aberta",2
"65","abertas",1
"66","abflog",1
"67","abflug",2
"68","abfluss",1
"69","abgeben",1
"70","abgebildet",2
"71","abgehalten",1
"72","abgeholt",6
"73","abgenutzt",1
"74","abgereist",1
"75","abgeschieden",1
"76","abgeschlossen",3
"77","abgeschlossenes",1
"78","abgesehen",4
"79","abgestellt",2
"80","abgestimmt",1
"81","abgetrenntes",1
"82","abholen",1
"83","abide",4
"84","abided",1
"85","abie",1
"86","abierta",2
"87","abiertas",1
"88","abierto",1
"89","abigayle's",2
"90","abilities",1
"91","ability",114
"92","abit",4
"93","abita",3
"94","abitata",1
"95","abitativa",1
"96","abitazione",2
"97","abitudini",1
"98","abiut",1
"99","ablage",1
"100","ablam",1
"101","ablauf",4
"102","abled",3
"103","ablenkung",1
"104","ablity",1
"105","abmnd",1
"106","abnb",19
"107","abnormal",2
"108","abnormally",5
"109","aboard",6
"110","aboards",1
"111","abode",35
"112","abodes",1
"113","abolitionist",1
"114","abolsolutely",1
"115","abolutely",1
"116","abondance",1
"117","abondant",1
"118","abord",2
"119","abordable",11
"120","abordables",1
"121","abords",1
"122","aboredum",1
"123","aboretum",5
"124","aborrecimento",1
"125","aborrecimentos",1
"126","aboslutely",2
"127","abosolutamente",1
"128","abot",1
"129","abou",1
"130","aboug",1
"131","abound",14
"132","abounding",1
"133","abounds",2
"134","aboutit",1
"135","abouts",1
"136","abovementioned",1
"137","aboyant",1
"138","abrasive",2
"139","abre",2
"140","abreast",1
"141","abreise",7
"142","abreisen",1
"143","abreisetag",4
"144","abren",1
"145","abril",1
"146","abrimos",1
"147","abrir",6
"148","abrirlo",1
"149","abrirmos",1
"150","abrirnos",1
"151","abris",1
"152","abrite",1
"153","abroad",28
"154","abrupt",2
"155","abruptly",3
"156","abs",1
"157","absagen",1
"158","absaugt",1
"159","abschied",1
"160","abschrecken",1
"161","abseits",1
"162","abselutely",1
"163","absence",29
"164","absent",17
"165","absentee",1
"166","absentia",1
"167","absoloutley",1
"168","absoltutly",1
"169","absolu",1
"170","absolue",1
"171","absolument",13
"172","absolut",62
"173","absoluta",2
"174","absolutamente",12
"175","absolute",322
"176","absoluteley",1
"177","absolutelly",3
"178","absolutely",3878
"179","absoluter",3
"180","absolutes",1
"181","absolutley",6
"182","absolutly",17
"183","absolutmente",1
"184","absoluto",1
"185","absolutt",2
"186","absoluut",1
"187","absoluutely",1
"188","absorb",3
"189","absorbed",1
"190","absorbent",4
"191","absorbing",3
"192","absorbs",1
"193","absosultely",1
"194","absoultely",1
"195","absperren",1
"196","abstand",1
"197","abstatten",1
"198","abstecher",1
"199","abstellen",3
"200","abstellkammer",1
"201","abstellraum",1
"202","abstellt",1
"203","abstentia",1
"204","absurd",2
"205","absurdly",5
"206","absutely",1
"207","abt",1
"208","abu",2
"209","abulous",1
"210","abundance",61
"211","abundancia",2
"212","abundant",41
"213","abundante",2
"214","abundantes",1
"215","abundantly",5
"216","abuse",1
"217","abuts",2
"218","abutting",1
"219","abviously",1
"220","abwaschen",1
"221","abwechslungsreiche",2
"222","abweichen",1
"223","abwesenheit",1
"224","abwiicklung",1
"225","aby",1
"226","abygail",1
"227","abysmal",2
"228","abzubauen",1
"229","abzug",1
"230","abzuwaschen",1
"231","ac",1234
"232","ac's",5
"233","acabada",1
"234","acabas",1
"235","acacia",14
"236","academia",1
"237","academic",9
"238","acai",1
"239","acc",1
"240","accablante",1
"241","accamodated",1
"242","accamodating",1
"243","accanto",1
"244","accappatoi",1
"245","acccess",3
"246","acccomidations",1
"247","acceccable",1
"248","accecible",1
"249","acceder",6
"250","accedere",5
"251","accedido",1
"252","accedimos",1
"253","accedir",1
"254","accent",17
"255","accented",2
"256","accents",9
"257","accentuate",2
"258","accentuer",1
"259","accept",39
"260","acceptable",54
"261","acceptables",1
"262","acceptance",2
"263","accepted",71
"264","accepting",22
"265","accepts",5
"266","accernos",1
"267","acces",16
"268","accesdible",1
"269","accesibilidad",3
"270","accesibility",1
"271","accesible",57
"272","accesibles",1
"273","accesiblility",1
"274","acceso",46
"275","accesorios",1
"276","access",5533
"277","accessable",11
"278","accessed",61
"279","accesses",2
"280","accessibility",86
"281","accessible",1758
"282","accessibles",10
"283","accessibly",1
"284","accessile",1
"285","accessing",137
"286","accesso",3
"287","accessoires",4
"288","accessori",2
"289","accessoriata",2
"290","accessoriato",2
"291","accessories",41
"292","accessory",3
"293","accesss",1
"294","accettabilissimo",1
"295","acceuil",4
"296","acceuillant",2
"297","acceuillante",4
"298","acceuille",1
"299","acceuilli",1
"300","acceuillir",1
"301","acceuillit",1
"302","accident",20
"303","accidental",1
"304","accidentally",84
"305","accidente",1
"306","accidently",1
"307","accidents",2
"308","acclaimed",1
"309","acclimate",5
"310","acclimated",12
"311","acclimating",2
"312","acclimatize",1
"313","accodations",1
"314","accodomate",1
"315","accogliente",30
"316","accoglienti",1
"317","accoglienza",4
"318","accoglierci",3
"319","accogliere",1
"320","accoint",1
"321","accolte",1
"322","accolti",2
"323","accolto",6
"324","accom",4
"325","accomadate",2
"326","accomadated",4
"327","accomadating",39
"328","accomadation",6
"329","accomadations",4
"330","accomadting",1
"331","accomadtions",1
"332","accomandating",1
"333","accomate",1
"334","accomated",1
"335","accomdating",11
"336","accomdation",1
"337","accomdations",4
"338","accomedating",2
"339","accomendation",1
"340","accomidable",1
"341","accomidate",2
"342","accomidating",14
"343","accomidations",1
"344","accomm",2
"345","accommadating",1
"346","accommdation",1
"347","accommendating",1
"348","accommidation",1
"349","accommodant",6
"350","accommodante",6
"351","accommodate",695
"352","accommodated",494
"353","accommodates",37
"354","accommodatie",3
"355","accommodating",5696
"356","accommodation",927
"357","accommodation's",1
"358","accommodations",1278
"359","accommodative",16
"360","accommodaton",1
"361","accommoder",2
"362","accommodiation",1
"363","accomoadations",1
"364","accomodaition",1
"365","accomodant",1
"366","accomodante",2
"367","accomodarion",1
"368","accomodate",42
"369","accomodated",25
"370","accomodates",1
"371","accomodatie",1
"372","accomodating",288
"373","accomodatingly",1
"374","accomodation",126
"375","accomodations",76
"376","accomodative",2
"377","accomomdating",1
"378","accomondating",1
"379","accomondation",1
"380","accompagnati",1
"381","accompanied",15
"382","accompanies",1
"383","accompaniment",1
"384","accompaniments",3
"385","accompannied",1
"386","accompany",4
"387","accompanying",12
"388","accompdations",2
"389","accomplish",6
"390","accomplished",12
"391","accomplishes",1
"392","accordance",5
"393","accordant",1
"394","accosted",1
"395","account",68
"396","accountability",2
"397","accountable",4
"398","accounted",8
"399","accounts",10
"400","accouterments",2
"401","accoutrements",3
"402","accquavit",1
"403","accrediting",1
"404","accros",1
"405","accross",12
"406","accroutrements",1
"407","acct",1
"408","accueil",160
"409","accueillant",57
"410","accueillante",60
"411","accueillants",21
"412","accueille",3
"413","accueilli",40
"414","accueillie",2
"415","accueillies",8
"416","accueillir",21
"417","accueillis",34
"418","accueillit",3
"419","accueuil",1
"420","accueuillants",1
"421","accueuilli",1
"422","accuillant",1
"423","accumalating",1
"424","accumulate",1
"425","accumulated",2
"426","accumulation",2
"427","accumulations",1
"428","accuracy",23
"429","accurat",1
"430","accurate",1493
"431","accurately",255
"432","accurato",1
"433","accusations",2
"434","accuse",2
"435","accused",15
"436","accusing",3
"437","accustom",1
"438","accustomed",23
"439","ace",3
"440","aceita",1
"441","aceite",4
"442","acela",2
"443","aceleramos",1
"444","acento",1
"445","aceptable",4
"446","aceptables",1
"447","acera",1
"448","acerca",4
"449","acercaron",1
"450","acercarse",1
"451","acercarte",1
"452","acertada",1
"453","acertado",2
"454","acertados",1
"455","aces",1
"456","acess",9
"457","acessible",1
"458","acessive",1
"459","acesso",19
"460","acetaminophen",1
"461","acezar",1
"462","acf",1
"463","achado",1
"464","achamos",2
"465","achats",2
"466","ache",1
"467","achei",5
"468","aches",2
"469","acheter",6
"470","achid",1
"471","achievable",2
