,word,no_rows
1,ac,6
2,access,4
3,accessible,1
4,accommodate,2
5,accommodation,1
6,accompanied,1
7,account,1
8,accueillis,1
9,actual,2
10,addition,1
11,additionally,2
12,adjacent,1
13,advertised,1
14,air,3
15,airbnb,4
16,albeit,1
17,allergies,1
18,alles,1
19,allowed,1
20,amazed,1
21,amenities,2
22,anderen,1
23,answer,1
24,answerd,1
25,apartment,33
26,apartment's,1
27,apparent,2
28,appartement,1
29,appartment,2
30,appealing,1
31,appeared,1
32,appreciated,1
33,approach,1
34,approaching,1
35,arranged,1
36,arrival,4
37,arrive,1
38,arrived,2
39,arriving,1
40,assigned,1
41,attending,1
42,attention,1
43,attractions,1
44,aussi,1
45,australia,1
46,autobus,1
47,automated,1
48,ave,1
49,avec,2
50,aware,1
51,awesome,1
52,awkward,1
53,bad,4
54,bags,1
55,banging,1
56,bar,1
57,bare,1
58,barren,1
59,bars,3
60,based,2
61,basic,3
62,basically,1
63,basket,1
64,bath,1
65,bathroom,10
66,bathrooms,1
67,bay,1
68,beautiful,1
69,bed,11
70,bedroom,6
71,bedrooms,1
72,begrenzt,1
73,bench,1
74,beneath,1
75,beware,1
76,biased,1
77,bien,3
78,bit,7
79,blinds,1
80,block,1
81,bnb,1
82,boards,1
83,boathouse,1
84,book,1
85,booked,1
86,booking,2
87,bookings,1
88,boston,8
89,bother,1
90,box,1
91,branch,1
92,brand,1
93,braucht,1
94,breakfast,3
95,bring,1
96,bringing,1
97,broken,3
98,brother,2
99,brought,2
100,building,13
101,bump,1
102,bunch,1
103,burned,1
104,bus,6
105,busy,2
106,cable,1
107,cabral,1
108,caked,1
109,call,1
110,canceled,1
111,car,1
112,care,1
113,careful,1
114,carpet,2
115,cas,1
116,casa,1
117,casement,1
118,cat,3
119,ce,2
120,cells,1
121,center,1
122,central,1
123,centre,1
124,cetera,1
125,challenging,1
126,chambre,1
127,channels,1
128,charles,2
129,chatted,1
130,cheap,1
131,cheapest,1
132,check,2
133,chocked,1
134,choice,1
135,city,3
136,clash,1
137,clawing,1
138,clean,8
139,cleaned,1
140,cleaning,3
141,cleanliness,1
142,clearer,1
143,close,12
144,closed,1
145,club,2
146,cluttered,1
147,code,3
148,coffe,1
149,coffee,2
150,cold,1
151,college,1
152,comfortable,4
153,cominicative,1
154,common,3
155,communicate,2
156,communication,6
157,commuter,3
158,company,1
159,compared,1
160,complained,1
161,concern,1
162,concerns,1
163,concerts,1
164,concierge,1
165,conditioner,2
166,condom,1
167,confirmation,1
168,connected,1
169,connection,1
170,constant,1
171,contact,2
172,contacter,1
173,convenience,1
174,convenient,5
175,conveniently,1
176,converted,1
177,cook,3
178,cooking,1
179,cooling,1
180,correct,2
181,cost,1
182,cosy,1
183,couch,2
184,counter,2
185,countertop,1
186,county,1
187,couple,1
188,cover,1
189,cozy,1
190,crowded,1
191,crumbs,1
192,cuisine,1
193,curtains,1
194,customer,1
195,cvs,2
196,dans,2
197,dark,1
198,das,1
199,day,5
200,days,1
201,de,2
202,dead,1
203,decent,1
204,decorated,1
205,den,1
206,der,1
207,description,3
208,desired,1
209,die,5
210,difficult,1
211,digit,1
212,dingen,1
213,dining,1
214,directions,1
215,dirt,1
216,dirty,9
217,disappointing,1
218,discussing,1
219,disponibile,1
220,disponible,1
221,distance,2
222,disturb,1
223,dmitry,1
224,door,2
225,doormen,1
226,doors,3
227,doorway,2
228,downtown,2
229,dried,1
230,drip,1
231,dropped,1
232,drunk,1
233,due,1
234,dvd,1
235,earlier,1
236,easily,1
237,easy,4
238,eat,1
239,economically,1
240,eggs,1
241,eine,1
242,eingehalten,1
243,elif,6
244,elif's,3
245,email,1
246,employees,1
247,empty,1
248,en,1
249,encountered,1
250,enjoy,3
251,enjoyed,1
252,enter,2
253,entered,1
254,entrance,2
