"","word","count"
"1","airbnb",30
"2","apartment",94
"3","bathroom",37
"4","bed",31
"5","bit",20
"6","boston",59
"7","building",36
"8","check",21
"9","clean",54
"10","close",45
"11","comfortable",24
"12","door",21
"13","easy",27
"14","experience",20
"15","host",63
"16","house",33
"17","kitchen",27
"18","location",85
"19","lot",20
"20","neighborhood",29
"21","nice",42
"22","night",30
"23","parking",23
"24","people",20
"25","quiet",20
"26","recommend",21
"27","space",26
"28","stay",80
"29","staying",22
"30","street",21
"31","time",27
"32","tv",20
"33","unit",30
"34","walk",28
