"","id","sentiment","description","host_is_superhost","host_total_listings_count","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bathrooms","bedrooms","beds","price","cleaning_fee","has_availability","number_of_reviews","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location"
"1",3781,1.92307692307692,"Fully separate apartment in a two apartment building. Space is perfect for an individual or a couple. There is a full bath, bedroom with queen bed, small sitting area with TV and a fully equipped kitchen with dining area. Walk or bus to subway. This is a totally separate apartment located on the first floor of a 3 story building. Apartment has one bedroom with queen sized bed plus full eat-in kitchen,sitting room and full bath with tub/shower. Free off street parking for one car. SORRY NO SNOW REMOVAL SERVICE FOR CAR.  Free wi-fi  10 minute walk/5 minute bus (3 doors away) to subway station--next stop is Aquarium/Faneuil Hall in central Boston.  Guests who have stayed in our apartment have used it as a home base to explore Boston and surroundings. Others during extended stays at the apartment have commuted to  Massachusetts General Hospital (MGH) and Massachusetts Institute of Technology (MIT).   The harbor and harbor walk are 3 doors away, if you do not feel like eating in central Bos","f",5,"East Boston",42.36524121,-71.02936149,"Apartment","Entire home/apt",2,1,1,1,125,75,"t",14,99,10,10,10,10,10
"2",5506,2.05829596412556,"This is a private guest room with private bath,    It is an independent space, You do not need to cut through anyone elses space to get to guest room. No shared space.  Private entrance off main hall/stairs of the building.   Has a mini fridge, micro and coffee maker. **THE BEST Value in BOSTON!!*** PRIVATE GUEST ROOM WITH PRIVATE BATH. 125 special!!!!  all remaining nights this month! 3 night minimum. Ask for the monthly special.  (Special Does not include cleaning or airbnb fee) **Super Value on a Really Nice, Comfortable, Tastefully decorated guest room, Clean, w/ full private bath available for your long or short term stay! Why stay in an overpriced hotel???!!  **Excellent Boston location, a 5 minute walk to the Orange Line Train, 4 Minute ride to Copley Plaza, the Center of all Boston attractions! Back Bay/South End, Downtown.  **Located in a quiet Boston residential neighborhood, In a Historic Boston Victorian Rowhouse, Circa 1860.   We offer the comfort of a Inn-like setting co","f",6,"Roxbury",42.3298085,-71.09559469,"Guest suite","Entire home/apt",2,1,1,1,145,40,"t",75,95,10,10,10,10,9
"3",6695,1.62091503267974,"** WELCOME *** FULL PRIVATE APARTMENT In a Historic Victorian Brick Row House, Circa 1860.  **EXCELLENT SUNNY!! ***HOME AWAY!**.  SPECIAL!! ***All Remaining Nights this Month!!! 125 nt, (Special is for up to 2 guests,  Does not include cleaning or airbnb fee.) 3 night minimum.. Perfect for Vacation and Extended Stays! Ask for this months promotion! Does not include holidays and special events.  Super value on a very nice, comfortable, tastefully decorated, clean, private 1 Bedroom Duplex Condo/Apartment with full kitchen and full bath available for your long or short term stay!  Excellent Boston location, 5 minute walk to the Orange Line Train, 4 Minute ride to the Center of all Boston attractions! 3 short stops(1.5miles) to Copley Plaza/Back Bay/South End, Downtown.   Walk to Museums from here.  We are in the geographical center of Boston. Located in the quiet Boston residential neighborhood of Fort Hill, On a quiet private way, we offer the comfort of a Inn-like setting combined wit","f",6,"Roxbury",42.32994061,-71.09350511,"Condominium","Entire home/apt",4,1,1,2,169,70,"t",77,97,10,10,10,10,9
"4",6976,2,"Come stay with me in Boston's Roslindale neighborhood.  It is a very safe and suburban part of the city, where most of the houses have driveways and backyards. Your room is fully furnished with an 8 x 10 wool rug, and a nice bureau, a wood-frame, full-size bed, cable TV, WI-FI, a desk to work at, and a new chair. I am an importer of Mexican Folk Art, and run an online store out of the apartment. You will see some wonderful examples of handmade wood, tin  and pottery figures on display here. This is a well-maintained, two-family house built in the 1920s. My apartment is on the second floor.  This is a pet and smoke-free apartment.   PRICE: Price includes ALL utilities (heat, electricity, Wi-Fi, cable TV, air conditioner), parking in street, and use of back yard. NO SMOKING indoors or outside. Note that the bed is a size ""Full"" mattress, not a Queen or a King.   Please note that i do not charge a ""cleaning fee."" I consider that to be part of my duties as a responsible host. Guests get fr","t",1,"Roslindale",42.29243789,-71.13576525,"Apartment","Private room",2,1,1,1,65,0,"t",72,98,10,10,10,10,9
"5",8789,1.92207792207792,"Bright, 1 bed with curved glass windows facing the State House! High ceilings, updated kitchen, elevator building, doorman, laundry on each floor and common roofdeck with amazing view.  Close to everything! Fully Furnished studio with enclosed bedroom.  Curved glass windows face the State House and the Boston Common. Updated kitchen with convection microwave, electric cooktop and full size fridge.  There are high ceilings, parquet wood floors, ornamental fireplace and mantle and great closet space. Features a common roofdeck, two elevators, concierge, common laundry and garbage room on each floor.  Very closed to tourist attractions, shopping, restaurants, banking and Wholefoods.  The Red Park Street T stop, Boylston Green T stop and Government Center Green T stop are all an easy walk. Rent includes utilities, high speed internet, basic cable, linens, kitchen and house wares. NON- SMOKING No pets 1000 refundable security deposit 150 one time cleaning fee 100 move-in fee Guests have ","f",13,"Downtown",42.35918692,-71.06265111,"Apartment","Entire home/apt",2,1,1,1,99,150,"t",19,92,9,9,10,10,10
"6",8792,2.16379310344828,"Fully furnished 1bed facing the State House.  Floor to ceiling windows, wall to wall carpet, newer living room furniture and updated bathroom, king size bed, concierge building, elevators and common roofdeck. Fully furnished, spacious one bed (king) unit with wall to wall carpet, open livingroom/kitchen layout, huge windows facing the State House and the Boston Common, high ceilings and great closet space.  This unit is on the 3rd floor and street noise can be a factor.  The condo is conveniently located beside the State House and it features a concierge, common roofdeck, laundry and garbage room on each floor, two elevators and a newly remodeled common area. Rent includes: all utilities, high speed internet, basic cable, linens, kitchen and house wares. Convenient location close to everything! I'm available for any questions and/or issues. Beacon Hill is a historic neighborhood filled with tradition, brownstones, cobblestone streets, the Boston Common park, the State House, as well as","f",13,"Downtown",42.35849698,-71.06201144,"Apartment","Entire home/apt",2,1,1,1,154,250,"t",24,93,10,9,10,10,10
"7",9273,1.57142857142857," Available 200.00 per night/seven night minimum stay or 225per night/3 night minimum. Also available in off season for 3600 per month. Ten minute walk or 5 minute bus (bus stops 3 doors from apartment) to Maverick Subway Station (Blue Line) then one stop to central Boston: i.e.; next stop is Aquarium/Faneuil Hall/Quincy Market!!  This two level apartment is located in a residential area which is close to airport, public transportation, Boston Harborwalk and Piers Park. One bedroom with queen bed adjacent full bath. Second bedroom with king bed and adjacent full bath. Room with king bed is mostly enclosed but is loft style—a screen separates this bedroom from hallway—plenty of privacy—other bedroom is on another floor. Fully equipped eat in kitchen and living room with TV and dining or table game area. Two decks with views of local parks, Jeffries Point Boat Club, airport and Boston Harbor beyond.  Free gated off street parking. Free WiFi, HBO and local and nationwide domestic phone.","f",5,"East Boston",42.36460804,-71.02902056,"Apartment","Entire home/apt",4,2,2,2,225,80,"t",14,100,10,10,10,10,9
"8",10811,1.63636363636364,"Back Bay Studio Apt on Marlborough St-189 Nightly Boston Studio Apartment- Stay right in the BACK BAY in a 'Marlborough Street' APARTMENT!!! This apt has a queen murphy bed and an air mattress. Boston Studio Apartment- Stay right in the BACK BAY in a ""Marlborough Street"" APARTMENT!!! A lovely studio apartment in a Victorian brownstone along tree-lined Marlborough St. Well maintained and updated with bow front windows, full galley kitchen, hardwood floors and a fireplace (not working) and HIGH SPEED INTERNET. Apartment is a few streets over from the Marriott, Westin, Sheraton, The Lenox Hotel and many other area hotels. (5 minute walk) The quaint, tree-lined streets in this neighborhood are filled with brownstone shops, restaurants, bars and upscale housing. The Back Bay is one of Boston's most beautiful and walkable areas, featuring stately brownstones and spacious, shady promenades. You can amble along the wide sidewalks of Marlborough Street, Newbury Street and Commonwealth Avenue. ","f",12,"Back Bay",42.34972969,-71.08792364,"Apartment","Entire home/apt",3,1,0,2,179,100,"t",6,90,9,10,9,8,10
"9",12356,2.06451612903226,"Renovated 1 bed facing the State House on the 2nd floor. Granite counters, stainless appliances, breakfast bar, wood floors, queen size bed, great closets, sleeper couch, flat screen TV & wifi. Concierge, elevators, laundry. Note: We are not yet booking for the Marathon. Please check back closer to the end of the year for availability.  Spacious,renovated, furnished 1 bedroom condo facing the State House with large windows.  Granite counters in the kitchen, dishwasher, electric stove, microwave, flat screen TV, open kitchen/living room layout, breakfast bar, sleeper couch, queen sized bed, great closet space and hardwood floors. Great building with a concierge, common roofdeck with awesome views, elevators, laundry and garbage room on each floor. This unit is in a great location close to public transportation, shopping, the Boston Common, restaurants, the Financial District and the Theater District.   The rent includes all of the furnishing, utilities, high speed internet, window AC, b","f",13,"Beacon Hill",42.35898849,-71.06324696,"Condominium","Entire home/apt",3,1,1,1,145,250,"t",9,93,10,10,10,10,10
"10",24240,2.32374100719424,"*** Celebrating 27 Years in Business as Boston's Original Bed & Breakfast Afloat! *** Boston's Bed & Breakfast Afloat and Charter If you are looking for a unique getaway, the Golden Slipper awaits!  Welcome aboard! The Golden Slipper has 2 private State Rooms. The aft cabin offers a spacious walk around queen sized bed with a private bathroom that includes a bathtub and shower. The forward berth has a full sized bed and a private bathroom with a shower only. The comfortable main salon offers a roomy galley and a spacious sofa that can be converted to a double bed. Thus, the boat can accommodate up to 6 people. Located at our very secure, locked marina you're within a short 10-minute walk to Faneuil Hall Marketplace, the Freedom Trail, The New England Aquarium, the trolley, Historical Monuments and Museums and Boston's Little Italy, the North End. DVD player is available, along with a library of DVD movies for the use of our guests.  CD player also available. Golden Slipper is convenien","t",1,"North End",42.36366048,-71.05023194,"Boat","Entire home/apt",5,2,2,3,270,0,"t",76,96,10,10,10,10,10
